industryID,inspectiondate,nameOfInspectionOfficer,inspectionStatus,fileID,infileID,applicationID,scheduledDate,reason
58,2014-03-25,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,49,58,NULL,NULL
61,2014-03-25,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,50,59,NULL,NULL
59,2014-06-06,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,51,60,NULL,NULL
62,2013-09-03,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,52,62,NULL,NULL
64,2013-07-02,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,53,63,NULL,NULL
68,2014-05-21,"M.G.L.Fernando /Thilini de Silva","Recommended for EPL Renewal",NULL,54,65,NULL,NULL
70,2012-11-30,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL",NULL,55,68,NULL,NULL
73,2014-03-19,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,56,71,NULL,NULL
76,2014-01-09,"M.G.L.Fernando / D.Valantina","Recommended for EPL Renewal",NULL,57,76,NULL,NULL
79,2013-10-08,"M.I.Perera /U.L.G.S.Abewardana",,NULL,58,79,NULL,NULL
82,2014-05-06,"M.I.Perera/ U.S.G.Abewardana",,NULL,59,82,NULL,NULL
83,2014-05-26,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,60,83,NULL,NULL
86,2014-01-28,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,61,86,NULL,NULL
89,2013-10-30,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,62,89,NULL,NULL
92,2013-12-13,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,63,92,NULL,NULL
88,2012-02-14,"S.S. Ranasingha/L.G.S. Hemakanthi",,NULL,64,88,NULL,NULL
53,2014-07-03,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,65,61,NULL,NULL
97,2014-06-02,"M.G.L.Fernando /Anusha Nilanthi","Recommended for EPL Renewal",NULL,66,98,NULL,NULL
102,2014-06-02,"M.G.L.Fernando /Anusha Nilanthi","Recommended for EPL Renewal",NULL,67,103,NULL,NULL
105,2013-12-20,"S.S.Ranasinha/ Anusha Nilanthi","Recommended for EPL Renewal",NULL,68,106,NULL,NULL
112,2013-12-26,"S.S.Ranasinha/ Ashoka Samaranayaka","Recommended for EPL Renewal",NULL,69,113,NULL,NULL
122,2013-11-28,"S.S.Ranasinha/ Anusha Nilanthi","Recommended for EPL Renewal",NULL,70,123,NULL,NULL
126,2013-09-05,"S.S.Ranasinha/ Achala Kohona","Recommended for EPL Renewal",NULL,71,128,NULL,NULL
128,2013-10-14,"S.S.Ranasinha/ Anusha Nilanthi","Recommended for EPL Renewal",NULL,72,129,NULL,NULL
129,2013-09-05,"S.S.Ranasinha/ Ashoka Samaranayaka","Recommended for EPL Renewal",NULL,73,130,NULL,NULL
131,2013-12-02,"S.S. Ranasinghe (S.E.O.)/ Anusha Nilanthi (D.E.O.)","After obtaining an analytical report EPL renewal can be considered",NULL,74,131,NULL,NULL
132,2014-12-12,"M.G.L.Fernando/ U.S.G.Abewardana","Issuing of Epl can be considered after obtaining waste water anlyticle report",NULL,75,132,NULL,NULL
135,2013-09-05,"S.S.Ranasinha/ Achala Kohona","  Recommended for EPL Renewal  ",NULL,76,135,NULL,NULL
137,2011-12-30,"M.R. Namalie (SEO) / S.S. Ranasinghe (SEO)","EPL Renewed",NULL,77,137,NULL,NULL
140,2014-03-03,"S.S. Ranasinghe (SEO) / Menaka Sujith (EO)","EPL Issued",NULL,78,141,NULL,NULL
142,NULL,,,NULL,79,142,NULL,NULL
142,2013-09-12,"S.S.Ranasinha/ Achala Kohona","Recommended for EPL after obtaining wast water analytical report",NULL,80,142,NULL,NULL
