lacode,prcode,dicode,laname,lid
UKS,WE,GQ,"Katunayake-Seeduwa U. C.",295
UKT,WE,KT,"Kalutara U. C.",296
UMA,WE,CM,"Maharagama U. C.",297
UMG,WE,GQ,"Minuwangoda U.C.",298
UNP,CE,KY,"Nawalapitiya U. C.",300
UPD,WE,KT,"Panadura U. C.",301
UPG,WE,GQ,"Paliyagoda U. C.",302
UPX,NW,PX,"Puttalam U. C.",304
UTG,SU,HB,"Tangalla U. C.",305
UTL,CE,NW,"Talawakele-Lindula U. C.",306
UWE,SU,MR,"Weligama U. C.",309
UWG,CE,KY,"Wattegama U. C.",310
UWM,WE,GQ,"Wattala-Mabola U. C.",311
UBO,WE,CM,"Boralesgamuwa U.C.",312
PPC,WE,KT,"Palindanuwara P.S",313
PMA,WE,KT,"Madurawala P.S.",314
PWJ,SU,GL,"Weliwita Divithura P.S.",315
PID,SU,GL,"Imaduwa P.S.",316
PRO,SU,MR,"Kirinda Puhulwella P.S.",317
PPZ,SU,MR,"Pitabeddara P.S.",318
PAI,SU,MR,"Athuraliya P.S.",319
PSU,SU,HB,"Suriyawewa P.S.",320
PGD,SA,RN,"Godakawela P.S.",321
PHC,SA,RN,"Kahawatta P.S.",322
PBD,SA,KE,"Bulathkohupitiya P.S.",323
PWH,NC,PO,"Welikanda P.S.",324
PWX,EA,TC,"Verugal P.S.",326
UMN,NO,MN,"Mannar U.C",327
PRF,EA,AP,"Kareithive P.S",328
PNV,EA,AP,"Naveethanweli P.S",329
MDB,CE,MT,"Dambulla M.C.",331
PGJ,SU,GL,"Rajgama P.S",332
PMW,NO,MN,"Manthai West P.S",334
PMS,NO,MN,"Musali P.S",335
PNN,NO,MN,"Nanattan P.S",336
PMR,NO,MN,"Mannar P.S",337
UVA,NO,VA,"Vavuniya U.C",339
PWU,NO,VA,"Vavuniya North P.S",340
PWP,NO,VA,"Vavuniya South(Sinhala) P.S",341
PWD,NO,VA,"Vavuniya South(Tamil) P.S",342
PWC,NO,VA,"Venkalacheddikulam P.S",343
PMY,NO,MU,"Manthai East P.S",344
PMP,NO,MU,Maritimepatttu,345
PTY,NO,MU,"Tunukkai P.S",347
PPT,NO,MU,"Puthukkudiyiruppu P.S",348
PRC,NO,KN,"Karachchi P.S",349
PCH,NO,KN,"Pachchilaipalli P.S",350
PKK,NO,KN,"Punakari P.S",351
MAK,EA,AP,"Akkaraipattu M.C",353
PAP,EA,AP,"Akkaraipattu P.S",354
PIK,EA,AP,"Irakkamam P.S",355
UKG,EA,TC,"Kinniya U.C",356
UTC,EA,TC,"Trincomalee U.C",357
PUB,NW,KG,"Udubaddawa P.S",358
PKS,NW,KG,"Narammala P.S",359
PLG,UV,BD,"Lunugala P.S",360
