industruID,metirialID,metirialname,qty
16451,194,PADDY,"4000 KG/DAY"
1848,195,"Fabric Materials",
4088,196,"Calcium Carbonate","10200 kg/day"
4088,197,Dolamite,"2500 kg/day"
4088,198,"China Clay","2035 kg/day"
17748,199,Granite,
16449,200,PADDY,"2500 KG/DAY"
4093,201,"Caustic Soda Flakes","50 kg/day"
17751,202,Metal,
17829,203,Corn,800kg
17744,204,Explosive,"4 kg"
17745,205,Metal,
17740,206,"Rock aggregates","40 cub per day"
17753,207,Explosive,
17754,208,"Rock Aggregates","250 Cube/Annual "
17830,209,Granite,
17831,210,Granite,
17756,211,"6x9 Metal",20
17747,212,Granite,
17312,213,Explosive,
17736,214,granite,500
17736,215,,
17319,216,Granite,
17826,217,"Rock Boulder","10 Cube/ Day"
17327,218,Granite,
17301,219,"6*9 size Granite",
17307,220,Granite,
17741,221,"Rock Boulders","15 Cube/ Day"
17253,222,Explosive,
17332,223,Granite,
17257,224,Explosive,
17777,225,Granite,
17118,226,Granite,
17183,227,Granite,
17120,228,"Rock Boulders","10 Cube/Day"
17181,229,Granite,
17155,230,Paddy,3000kg
17374,231,Granite,
17113,232,Paddy,"27690 kg"
18729,233,Explosive,
18734,234,6x9,
17049,235,Granite,
18730,236,"6x9 Metal",60
17001,237,Granite,
17250,238,"Car washing materials",
17119,239,"Rock Boulders","50 Cube/ Month"
18716,240,Granite,
17117,241,"Rock Boulders","15 Cube/ Day"
17053,242,"Prima animal foods",900
18330,243,Broilers,40000
18330,244,Layers,450
18330,245,Goats,46
18330,246,Cattle,03
18330,247,"Poultry feed",
18330,248,pasture,
17056,249,Paddy,250000
16450,250,Paddy,3300
17061,251,Paddy,10000
18170,252,Granite,
16446,253,"Steel pipes","30 pipes/month"
16446,254,"Iron bar","25 bars/month"
3305,255,No,No
16446,256,"Iron sheet",(75'x3')/month
17933,257,Rock,"30 cube/day"
18053,258,Granite,
17057,259,"Broiler Chicken","100000 animal"
10615,260,"Dolamite and Metal Quarry","8 cubes"
18140,261,"'6x 9' Granaite",
2038,262,"CFL bulbs",20000/day
2038,263,"Tube lights",15000/day
16452,264,Paddy,"6500 kg/day"
18042,265,"Pig livestock",
18041,266,Granite,09
18039,267,Metal,"5 cubes"
18039,268,Sand,"3 cubes"
10614,269,"Potassium Chlorate, Black Manganeese, Sulfur Powder, Match Glue,Glass Powder, Gum Rosin, Red  phosperous","Potassium Chlorate - 56, Black Manganeese- 7 kg, Sulfur Powder-1kg Match Glue-7kg,Glass Powder-3 kg, Gum Rosin- 0.5004, Red  phosperous- 2 kg"
18039,270,Cement,"3 tons"
18039,271,Water,"3 L"
17990,272,"6'*9' granite",
18036,273,Granite,
18031,274,"Car wash, Water",
17942,275,Granite,
18055,276,"Old Aluminium",50kg
17939,277,"6’*9’ Granite",
17991,278,Tar,48Kg
17991,279,Dust,520Kg
17945,280,Granite,3x4
17060,281,"Rock Boulders","200 cube/ month"
17991,282,"Chip Metal",200Kg
17991,283,"3/4"" Metal",200Kg
17991,284,"1"" Metal",80Kg
10613,285,"Water & Oil","Water-300-500l, "
17930,286,Granite,
17505,287,"Rocks ",
10611,288,"Commercial feed ",340
16453,289,"Steel Pipes","20 pipes/month"
16453,290,"Iron Bar","35 bars/month"
16453,291,"Iron Sheet","50 sq.feet/month"
16453,292,"Welding Road","20 kg/month"
18173,293,Granite,
17066,294,"Rock Boulders",
16454,295,"Steel Pipes","15 pipes/month"
16454,296,"Iron Bar","25 bars/month"
16454,297,"Iron Sheet","40 sq.feet/month"
16454,298,"Welding Road","15 kg/month"
16455,299,Paddy,"5000 kg/day"
18052,300,Paddy,4000
16647,301,"Iron bar",1500kg/month
17843,302,Granite,"10 cubes"
17059,303,"Rock Boulders",
18026,304,"Poultry Feed",
16456,305,Paddy,"6500 kg/day"
4160,306,"Granite Slabs",
1831,307,"Polythene waste",750kg
2620,308,"Powder Cotin",
994,309,Cement,15000
18035,310,Yooria,3000
994,311,"River sand",22500
18035,312,T.S.P.,2000
18035,313,M.O.P.,4000
994,314,"Manufactured sand",13500
994,315,"Aggregate 3/4""",29250
994,316,"Aggregate 1/2""",18000
994,317,Water,9000
994,318,Admixture,45
3241,319,"Ball clay, Feldspar quarts, Plaster of paris, colour stain",
4090,320,PVA,
4090,321,"Caustic Soda",
4090,322,Wax,
4090,323,MEA,
4090,324,"Coconut Oil",
4090,325,"Tallow (Mineral Acids)",
1832,326,"Steel sheets",
1832,327,powder,
1846,328,"Raw water","100000 l"
1846,329,"Plastics Bottles",
17846,330,"Plastic powder",
17846,331,polyethylene,
10597,332,"costic soda,baking soda",
18324,333,"Poultry feed",
4059,334,Fabric,"1750 yards"
4059,335,Interlining,"80 yards"
4059,336,Buttons,"65 gross"
4059,337,"Poly bags","8000 pieces"
18037,338,"6’*9’ Granite","6 cubes"
1840,339,"Original Original and racycle PVC",
4061,340,Polyester,"50 kg/day"
4061,341,Cotton,"25 kg/day"
4061,342,"PV ","18 kg/day"
18503,343,Apatite,
16457,344,Paddy,"5500 kg/day"
4116,345,"Waste polythene",
16458,346,Paddy,"5000 kg/day"
10137,347,"kerosine,soap",
1010,348,"Donor blood",
16459,349,Paddy,"5000 kg/day"
18588,350,Paddy,4000
17847,351,"6 '* 4  ' Granite","10 cubes"
2079,352,"White ironl sheets",
2079,353,"Soft steel sheets",
18499,354,Apatite,
1859,355,Asphalt,
1859,356,"Chemical Emulsificate",
1265,357,"Meat, Vegetables, Rice",
4091,358,"HDPE Blow material","500 kg"
4091,359,"LDPE Injection","10 kg"
4091,360,"HDPE injection","10 kg"
1858,361,"China clay",
1858,362,"Raw rubber",
18414,363,Peddy,500
2435,364,"Ditergent Powder",
1861,365,Rubber,
24721,366,Disel,45
1861,367,Wood,
24721,368,Greace,1
24721,369,Lubricant,1
1861,370,Fibers,
18584,371,Apatite,
16460,372,"Iron Sheet","4' x 4' sheet/month"
16460,373,Gas,"15 kg/month"
18123,374,Pig,
18123,375,Poultry,
4069,376,"Nitrocellulose DHL 120/170","106.63 day"
4069,377,"Nitrocellulose DHL 25/45",55.19/day
3307,378,NA,
18639,379,"Coconut husk",2000
18587,380,Paddy,10000
18418,381,"6X9 Metal",6
24725,382,Dolamite,"2 t"
24724,383,Boulders,
1068,384,"Rice, meat, eggs, vegetables",
4102,385,"Cleaning Substances",
4145,386,"PVC Injection Moulding Compound",
10349,387,Granite,25
17844,388,Granita,"12 cubes"
24726,389,"Iron Bar",
24727,390,Threads,100
4080,391,GPPS,"100 kg"
18514,392,Paddy,"9000 kg"
4080,393,ABS,"50 kg"
