industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
126,1,2015-09-27,0,NULL,23018,NULL,6
127,1,2015-11-03,0,NULL,23034,NULL,6
128,1,2015-11-06,0,NULL,22584,NULL,6
129,1,2016-02-06,1,NULL,23160,2016-06-05,6
130,1,2014-03-27,0,NULL,134,NULL,NULL
131,1,2015-09-10,0,NULL,22814,NULL,6
132,1,2016-09-19,0,NULL,24297,NULL,6
133,1,2015-04-21,0,NULL,133,NULL,NULL
134,1,2016-02-03,1,NULL,23146,2016-06-05,6
135,1,2016-07-13,0,NULL,24153,NULL,6
136,1,2015-03-27,0,NULL,138,NULL,NULL
137,1,2015-09-09,0,NULL,22737,NULL,6
138,1,2014-12-23,0,NULL,139,NULL,NULL
139,1,2015-02-01,0,NULL,140,NULL,NULL
140,1,2016-06-22,0,NULL,23989,NULL,6
141,1,2015-01-01,0,NULL,143,NULL,NULL
142,1,2016-08-12,0,NULL,24185,NULL,6
143,1,2016-04-07,0,NULL,23773,NULL,6
144,1,2014-04-25,0,NULL,145,NULL,NULL
145,1,2015-01-17,0,NULL,146,NULL,NULL
146,1,2015-04-20,0,NULL,147,NULL,NULL
147,1,2014-12-08,0,NULL,148,NULL,NULL
148,1,2014-09-29,0,NULL,149,NULL,NULL
149,1,2016-01-02,0,NULL,24065,NULL,6
150,1,2015-12-15,0,NULL,23213,NULL,6
151,1,2015-03-24,0,NULL,152,NULL,NULL
152,1,2015-02-21,0,NULL,154,NULL,NULL
153,1,2016-02-23,1,NULL,23437,2016-06-05,6
154,1,2015-12-16,0,NULL,22738,NULL,6
155,1,2015-01-29,0,NULL,156,NULL,NULL
156,1,2016-11-13,0,NULL,24285,NULL,6
157,1,2015-10-06,0,NULL,22773,NULL,6
158,1,2015-08-23,0,NULL,159,NULL,6
159,1,2016-02-20,1,NULL,23267,2016-06-05,6
160,1,2015-12-20,0,NULL,23030,NULL,6
161,1,2016-04-14,0,NULL,24069,NULL,6
162,1,2015-09-21,0,NULL,163,NULL,6
163,1,2015-03-21,0,NULL,164,NULL,NULL
164,1,2015-02-19,0,NULL,165,NULL,NULL
166,1,2015-08-31,0,NULL,167,NULL,6
167,1,2015-09-26,0,NULL,168,NULL,6
168,1,2016-10-06,0,NULL,24288,NULL,6
169,1,2016-02-09,1,NULL,23433,2016-06-05,6
171,1,2016-03-27,0,NULL,23434,NULL,6
172,1,2016-06-24,0,NULL,24061,NULL,6
173,1,2014-11-21,0,NULL,175,NULL,NULL
174,1,2016-03-12,0,NULL,23502,NULL,6
175,1,2015-12-07,0,NULL,23022,NULL,6
177,1,2016-10-31,0,NULL,24314,NULL,6
178,1,2016-01-09,0,NULL,23214,NULL,6
179,1,2015-12-04,0,NULL,22812,NULL,6
181,1,2016-02-09,1,NULL,23092,2016-06-05,6
182,1,2015-10-23,0,NULL,183,NULL,6
183,1,2016-01-08,0,NULL,23220,NULL,6
184,1,2015-02-26,0,NULL,185,NULL,NULL
186,1,2016-05-09,0,NULL,23793,NULL,6
187,1,2016-02-15,1,NULL,23778,2016-06-05,6
188,1,2016-10-29,0,NULL,24277,NULL,6
189,1,2015-03-31,0,NULL,190,NULL,NULL
190,1,2016-03-03,0,NULL,23772,NULL,6
191,1,2015-05-15,0,NULL,192,NULL,NULL
192,1,2015-11-22,0,NULL,23500,NULL,6
194,1,2016-02-02,1,NULL,23492,2016-06-05,6
195,1,2015-07-09,0,NULL,196,NULL,NULL
196,1,2016-03-25,0,NULL,23289,NULL,6
197,1,2016-11-14,0,NULL,24312,NULL,6
198,1,2016-03-28,0,NULL,24088,NULL,6
199,1,2015-07-25,0,NULL,201,NULL,NULL
201,1,2016-06-18,0,NULL,24190,NULL,6
202,1,2013-08-16,0,NULL,202,NULL,NULL
203,1,2015-07-12,0,NULL,24248,NULL,6
204,1,2014-09-06,0,NULL,205,NULL,NULL
205,1,2015-05-19,0,NULL,206,NULL,NULL
206,1,2015-12-30,0,NULL,23195,NULL,6
207,1,2016-02-17,1,NULL,23268,2016-06-05,6
209,1,2015-12-20,0,NULL,23405,NULL,6
210,1,2015-11-10,0,NULL,22953,NULL,6
