productID,industryID,procduct_byproducts_name,qty,productstatus
149,24557,"6x4,6x9 ,2x2metal",,Product
150,24558,Compost,10  ton p/m,Product
151,24564,"6x4,6x9 metal",100 cube P/M,Product
152,24566,"6x4,6x9 metal",3cube p/d,Product
153,24571,6x4 metal,5 Cube P/d,Product
154,24571,6x9 metal,2 cube p/d,Product
155,24572,6x4 metal,,Product
156,24573,6x9 metal,100 cube P/M,Product
157,24574,"6x4,6x9 ,2x2metal",,Product
158,17122,asphalt,1.5 Ton,Product
159,24579,"6x4,6x9 metal",6 cube P/d,Product
160,24582,T.V.Stand,,Product
161,24582,Computer Table,,Product
162,24582,Cupbord,,Product
163,1430,Food,,Product
164,3610,NA,NA,Product
165,1829,Rebuilt Tyres on Precured Process,1800 per month,Product
166,1036,Ethanol,,Product
167,1036,Methanol,,Product
168,16433,"Serviced vehicles (Motor cycle, car, van, lorry)",10 vehicles per day,Product
169,1420,,,Product
170,16434,"Serviced vehicles (Car, lorry, motor cycle, bus)",10 vehicles per day,Product
171,1830,Precured Tread Rubber,35 Tons per day,Product
172,1040,Accomodation & food,,Product
173,3282,Corrugated boxes,30000kg,Product
174,2452,"Carbonated Bevarage, Ice cream, Co2 Plant",,Product
175,15353,Aggregates,30 cubic meter / day,Product
176,24608,Asphalt,150t,Product
177,6354,Building materials/ Metal,,Product
178,24617,Metal,50,Product
179,16443,Rice,3000 kg/day,Product
180,16443,Bran,500 kg/day,By Product
181,16443,Broken Rice,200 kg/day,By Product
182,16443,,,By Product
183,4063,Polyurethene Foam,1500 ton/day,Product
184,4063,Rebonded Foam,,By Product
185,993,Guest rooms,94,Product
186,1842,Fire Proff Safes,,Product
187,16444,Rice,4500 kg/day,Product
188,16444,Bran,800 kg/day,By Product
189,1842,Steel office furniture,,Product
190,1842,Wood office furniture,,Product
191,16444,Broken rice,200 kg/day,By Product
192,24627,chicken,,Product
193,4223,Bakery & Hotel Produts ,,Product
194,16445,Rice,3600 kg/day,Product
195,16445,Bran,300 kg/day,By Product
196,16445,Broken rice,100 kg/day,By Product
197,16447,Rice,2900 kg/day,Product
198,16447,Bran,200 kg/day,Product
199,16448,Rice,2500 kg/day,Product
200,16448,Broken Rice,20 kg/day,By Product
201,16448,Bran,280 kg/day,By Product
202,1855,oil,2200 bottles,Product
203,1855,kwatha,6800 bottles,Product
204,1855,Churna,1200 kgs,Product
205,1855,Kalka,390 kgs,Product
206,3265,printed clothes,3500 per day,Product
207,4088,Water based Emulsions and Primers,9000 Kl/Annum,Product
208,4088,Solvent based Paints and Primers,500 Kl/Annum,Product
209,16451,RICE,2500 KG/DAY,Product
210,16451,RICE BRAN,300 KG/DAY,By Product
211,16451,BROKEN RICE,200 KG/DAY,By Product
212,1848,Foam Mattresses,,Product
213,1848,Cushions,,Product
214,1848,Sheets,,Product
215,1848,Pillows,,Product
216,17748,granite,15 cubes,Product
217,17748,Granite powder,,By Product
218,16449,RICE,1750 KG/DAY,Product
219,16449,BRAN,230 KG/DAY,By Product
220,16449,BROKEN RICE,20 KG/DAY,By Product
221,4093,Laundry Detergent Products,30 m3/month,Product
222,24679,Metal,10,Product
223,17751,Metal ,,Product
224,17744,Granite,,Product
225,17744,Granite Chippings,,Product
226,17745,Granite,,Product
227,17742,Granite,12 cubes,Product
228,17740,Metal,40,Product
229,17753,Granite,15 cubes,Product
230,17831,granite,,Product
231,17756,Metal ,20,Product
232,17747,Granite,,Product
233,17312,Granite,,Product
234,17746,6X9 Metal,2,Product
235,17736,Granite,500,Product
236,17319,Granite,400 cubes,Product
237,17309,Metal 6x9,,Product
238,17826,"6""X9"" Rock",10 Cube/Day,Product
239,17327,Granite,15,Product
240,17301,Granite powder,15 cubes,By Product
241,17371,"18""*12"" Granite",50 cubes,Product
242,17330,Metal,40,Product
243,17307,,,Product
244,17307,Granite,15,Product
245,17741,Rock,15 Cube/ Day,Product
246,17308,Metal 6x9,525/Month,Product
247,18712,6x9,8,Product
248,17253,6'*9' size Granite,,Product
249,17332,Granite,15,Product
250,17257,6'*9' size Granite,7 cubes,Product
251,17777,Granite,,Product
252,17118,Granite,,Product
253,17183,Granite,15,Product
254,17254,6'*9' size Granite,500 cubes,Product
255,17120,"Rock 6""x9""",10 Cube/ Day,Product
256,18723,6x9 ,,Product
257,17181,Granite,,Product
258,17155,Rice,3000kg,Product
259,18733,Granite,120 cubes,Product
260,17374,Granite,,Product
261,17113,Boiled Rice,8000 kg,Product
262,17113,Raw Rice,100000 kg,Product
263,18729,Granite,,Product
264,18734,Metal,,Product
265,17049,Granite,15,Product
266,17256,6'*9' size Granite,25 cubes,Product
267,18730,Metal,60,Product
268,17182,6x9 Metal,,Product
269,17001,Granite,15,Product
270,17119,"Rock 12""x18""",50 Cube/ Month,Product
271,17123,6x9,15,Product
272,18716,Granite,,Product
273,17117,"Metal 0.75""",,Product
274,17117,"Metal 1""",,Product
275,17117,"Metal 1.5""",,Product
276,17053,Chiken,6000,Product
277,18335,1 and 0.75 Granite,5 cubes,Product
278,18330,Chicken,,Product
279,18330,Eggs,,Product
280,18330,Mutton,,Product
281,18330,,,Product
282,17056,Rice,200000 kg,Product
283,16450,Rice,2145,Product
284,16450,Bran,495,By Product
285,16450,Broken rice,20,By Product
286,1850,PVC shoes and soles,,Product
287,1850,Shoe Soles,,By Product
288,17061,Rice,8000,Product
289,18170,Granite,,Product
290,16446,Gate,2gates/month,Product
291,16446,Window,15 kg/month,Product
292,16446,Other iron works,100 kg/month,Product
293,3305,No,No,Product
294,16446,Grill,20 kg/month,Product
295,17470,6'*9' size granite,250 cubes per month,Product
296,10615,Dolamite and Metal quarry,8 cubes per day,Product
297,17933,"Rock 6""x9""",30c ube/day,Product
298,17931,Rice,3000Kg,Product
299,16446,,,Product
300,18053,Granite,500,Product
301,17057,Meet Chicken,10000 kg/ month,Product
302,18140,metal,,Product
303,18140,metal dust,,Product
304,18140,chips,,Product
305,2038,Mercury+tryphosphate powder,,Product
306,2038,Magnatic metal pieces,,By Product
307,2038,Non magnatic metal pieces,,By Product
308,2038,Glass pieces,,By Product
309,16452,Rice,4500 kg/day,Product
310,16452,Bran,800 kg/day,By Product
311,16452,Broken rice,200 kg/day,By Product
312,18042,Pork,2 tons/month,Product
313,18042,Broiler chicken,1 ton/month,Product
314,18042,Compost,,By Product
315,10614,,,Product
316,10614,Producing Match boxes,,Product
317,18041,Granite,9,Product
318,18039,Concrete,,Product
319,18043,Pork,,Product
320,18043,Chicken,,Product
321,18043,Poultry offals,,By Product
322,17990,Quarry dust,,Product
323,17990,Metal chips,,Product
324,17990,Metal,,Product
325,18036,,,Product
326,18036,,,Product
327,18036,Granite,6x9 granite,Product
328,17942,ABC  metal dust,1000 cubes/day,Product
329,18031,,,Product
330,18055,Aluminium products,,Product
331,17939,Metal,25 cubes,Product
332,17939,Metal dust,,By Product
333,17939,Metal Chips,,By Product
334,17060,"Metal 0.75""",120 cube/ month,Product
335,17991,Asphalt,80,Product
336,17060,"Metal 0.5""",50 cube/ month,Product
337,17060,"Metal 1""",25 cube/ month,Product
338,17060,"Metal 0.75""",120 cube/ month,Product
339,17060,"Metal 0.50""",50 cube/ month,Product
340,17945,Granite,20,Product
341,17060,"Metal 0.50""",50 cube/ month,Product
342,17060,"Metal 1.00""",25 cube/ month,Product
343,17060,Metal Chips,10 cube/ month,By Product
344,17060,Metal Dust,15 cube/month,By Product
345,17930,Granite,100,Product
346,17505,"6""x9"" rocks ",10 cubes ,Product
347,17935,Granite,50 cubes/ month,Product
348,10611,Eggs,2330 per day,Product
349,10611,Organic Fertilizer,,Product
350,16453,Gate,3 gates/month,Product
351,16453,Grill,125 kg/month,Product
352,16453,Other Iron works,200 kg/month,Product
353,18173,Granite,"1, 1.5, 0.5",Product
354,18173,Metal dust,5,By Product
355,17066,"Metal 0.75""",1.5 cube/ day,Product
