industryID,fualtype,purpose,fuelconsumption,fid
11717,oil,"for service",5,729
11716,Diesel,"for engine",20,730
17646,Diesel,"For machinary use",40,731
25052,"Diesel ","For generators",NULL,732
12041,"Paddy husk","For boiler",NULL,733
18468,Diesel,,75,734
16576,Deisel,"Operating for  Generator",50,735
25053,Deisal,"For Rastem engine",25,736
16928,Kerosen,washing,0.05,737
6556,,,NULL,738
25048,Deisel,"Operate generetor ",10,739
16992,"Kerosene ","To Clean the Painting Burss ",0.16,740
25060,"Petrol, Cerocine",,1,741
18469,Diesel,"For machinery",20,742
6547,,,NULL,743
16929,N/A,,NULL,744
16946,Diesel,"Operating water pumbs",120,745
11681,Diesel,,NULL,746
6546,,,NULL,747
16993,,,NULL,748
12014,"Paddy husk","For Boiler",3000,749
6543,,,NULL,750
16931,N/A,,NULL,751
11703,Diesel,"for holing matal",50,752
25067,Diesel,,NULL,753
25066,Deisel,"For vehicle",30,754
16994,,,NULL,755
11936,Diesel,"for machineries",8,756
16955,Diesel,"Operating water bump ",10,757
18449,Diesel,,40,758
17832,Diesel,"For machinary use",30,759
17539,Diesel,"for machines",700,760
16932,Nil,,NULL,761
16956,Diesel,"Operating Generator",10,762
18311,Diesel,"For Vehicle",30,763
10664,Diesel,generator,5,764
18454,Diesel,"For Machinery use",20,765
16579,Deisel,"operating generator",25,766
16957,Diesel,"Operating Generator",10,767
18640,Diesel,Machine,52,768
11705,Diesel,"Explosive purpose",20,769
10348,Disel,"for two wheel tractor",1,770
16995,,,NULL,771
17796,Diesel,"For machinary use",NULL,772
17541,Diesel,"For machinery Use",100,773
11685,Diesel,"For machineries",500,774
15388,Diesel,"operation of Generator",350,775
16958,Diesel,"Operating Generator",10,776
11738,Diesel,"For machineries",25,777
16860,"Paddy husk",Boiling,100,778
15389,Diesel,"operation of generator",120,779
11719,Diesel,,10,780
3220,Diesel,"Generator (stand by only/ Sound proof)",NULL,781
16997,,,NULL,782
16962,Diesel,"Operating Generator",10,783
12030,"Paddy husk","For boiler",4500,784
2018,Diesel,"Generator operating",12,785
18617,Diesel,,30,786
18464,Diesel,"For Machinery use",5,787
25089,"Diesel ","for machines ",NULL,788
15393,Diesel,"operation of generator",120,789
6625,Diesel,"For Macheneries",6,790
10120,diesel,"For generator",NULL,791
11713,Diesel,"Explosive purpose",10,792
16963,Diesel,"Operating Generator",10,793
15391,Diesel,"Operation of Machinery",80,794
6554,desal,Generator,NULL,795
985,Diesel,,NULL,796
3335,"fire wood","to heat paints",10,797
17560,Diesel,"For Machinery",60,798
16964,Diesel,"Operating Generator",15,799
15387,Diesel,"operation of generator",100,800
16996,Diesel,"For drilling rocks",30,801
25094,Disel,"For generators",8,802
15413,Diesel,"operation of Machinery",50,803
16966,Diesel,"Operating Generator",10,804
16987,,,NULL,805
16877,"Paddy husk","Boiling of water",200,806
25098,"Diesel & Petrol ","For Generator/ Solution",8,807
3194,"furnace oil","for boilers and stand by generator",100,808
3194,Diesel,"forboiler and standby generator",100,809
16967,Diesel,"Operating Generator",10,810
16582,Deisel,"operating generator.",20,811
6542,desal,"Generator oparate",0.333,812
15390,Diesel,"operation of Generator",50,813
16968,Diesel,"Operating Generator",10,814
1027,Diesel,,NULL,815
16585,Deisel,"Operating generator",200,816
16584,Deisel,"Operating generator",200,817
4647,Diesel,,2,818
16376,Diesel,"For mechinery (drilling)",10,819
18448,Diesel,"For machinery",15,820
10114,Diesel,"For Stand by generator",NULL,821
2022,Diesel,"Start compreshure ",100,822
17721,Diesel,"Heating of Bitumen",NULL,823
913,Kerosene,"To remove greese",1,824
4629,"Furnance oil",Dryer,650,825
3601,No,,NULL,826
10519,"Diesal (L)","For rock drilling and crushing machnaries",25,827
2388,Kerosene,,1,828
4613,Diesel,"For generator",NULL,829
947,"Furnance oil","For boiler",500,830
10134,"Diesel ","For Generators",NULL,831
6237,"fire wood, wood scrapings, diesel","steam boiler, generator",1850,832
1278,"Furnance oil","As boiler fuel",350,833
16402,Diesel,"For operation of generator",1,834
996,Diesel,Generator,NULL,835
3597,No,,NULL,836
10603,Diesel,"Metal Crushing ",NULL,837
2656,"Petrol, Diesel, Kerosene","Vehicles, Pressure Pump",20,838
10133,Diesel,"For generators",NULL,839
4634,Diesel,"For generator",NULL,840
4634,L.P.Gas,"To Kitchen",13,841
10448,Diesal,"Compressor Machine ",5,842
931,"Domestic gas","Culture testing",NULL,843
16377,"Not applicable",,NULL,844
1271,Diesel,"For generator",20,845
18421,Diesel,"For Machinery",NULL,846
10602,Diesel,"For operating machinaries",35,847
10602,"Oil  (L)","For machinaries",2,848
10602,Grease,"For machinaries",2,849
3510,"Kerosine oil","to heat",NULL,850
3510,Diesel,"for vehicles",NULL,851
3510,"Furnace oil","to heat",212,852
4630,Diesel,"For boiler",50,853
25123,Diesel,"For Machinery",10,854
13916,Deisel,"Rock dril",5,855
6557,"Diesel ",generator,30,856
6185,diesel,compresure,NULL,857
1282,"Furnance oil","For boiler",200,858
941,"Furnance oil","To make aluminium circles",0.5,859
16714,Diesel,"Operation of generator",2,860
10587,diesel,"breaker machines ",25,861
10546,Diesel,"Compressor machines, tractor, JCB machines",55,862
4794,Diesel,"For forklift",3.33,863
2029,Diesel,"Generator operating",NULL,864
19108,firewoods,baking,NULL,865
3327,No,,NULL,866
16731,Diesel,"Operation of generator ",2,867
11673,Kerosine,cleaning,NULL,868
4612,Kerosene,"Maintainance of machines",0.5,869
6247,diesel,"for generator",0.06,870
6566,,,NULL,871
2027,Diesel,"For steam boilers",100,872
25129,Kerosen,Washing,2,873
6564,Diesal,,NULL,874
10702,"Biomass (yard)",Insulation,1.5,875
3361,No,,NULL,876
25140,Diesel,"Compressor machine",10,877
11688,Diesel,Generator,500,878
1024,"Furnance oil","Steam boilar",1015,879
1291,Kerosene,"For boiler",165,880
1291,Diesel,"For generator",21,881
25144,"Kerosene oil",Washing,NULL,882
16734,Diesel,"For operation of generator ",2,883
3328,Diesel,"standby generator",NULL,884
10128,diesel,"for generators",25,885
6478,kerosine,"to clean vehicles",0.008,886
25146,Disel,"Metal crushing",20,887
25148,"L.P. Gas","Drying garments",NULL,888
1991,Diesel,"For vehicles",NULL,889
12032,Diesel,,NULL,890
17982,Diesel,,10,891
16428,"Fire wood /Kg","Drying floor",150,892
10451,Deisel,"For compressor excavator",50,893
3267,Diesel,Generator,NULL,894
16715,Diesel,"For operation of generator",2,895
16859,"Paddy husk","Boiling of water",200,896
2007,Diesel,"Generator operating",NULL,897
12022,"Paddy husk","for boiler",3000,898
19109,firewoods,baking,NULL,899
18415,Diesel,,NULL,900
25152,"Furasance oil","reheating furance",3500,901
1844,Diesel,"Compressure machine",NULL,902
3196,"Hydraulic oil","machinery process",210,903
4682,Diesel,"For generator",500,904
929,Kerosene,"For washing vehicles",2,905
2456,Diesel,"To operate machines",150,906
16748,Diesel,"For operation of generator",0.26,907
1257,"Petrol, Diesel",,NULL,908
16747,Diesel,"For operation of generator",2,909
3293,No,,NULL,910
4622,L.P.Gas,"For baking",900,911
4622,Diesel,"For generator",20,912
3045,"Diesel ","To operate machines",1000,913
934,Diesel,Cooler,120,914
16593,Deisel,"Operating generator",200,915
16589,Deisel,"Operating generator",250,916
16590,Deisel,"Operating generator",120,917
15354,Diesel,"Fuel for generator",50,918
16684,kerosine,cleaning,1,919
15355,Diesel,"Fuel for generator",50,920
15356,Diesel,"Fuel for generator",50,921
15357,Diesel,"fuel for generator",50,922
15359,Diesel,"fuel for generator",NULL,923
15376,Diesel,"Fuel for generator",120,924
15377,Diesel,"Fuel for generator",50,925
15385,Diesel,"Fuel for generator",10,926
15394,Diesel,"Fuel for generator",20,927
16685,diesal,"operating generator",30,928
2662,"Disel ",,50,929
2662,Gas,"To operate ovens",95,930
3260,No,,NULL,931
10551,Disel,"For generators",5.2,932
4643,"Furnance oil","To generate heat",0.6,933
4643,L.P.Gas,"manufacturing purposes",20,934
25166,kerosine,,60,935
4648,"Furnace oil",,200,936
2711,Disel,,NULL,937
4745,Kerosene,"For cleaning",3,938
3238,"Kerosine oil","cleaning the machine rollers",50,939
4616,"Furnance oil","To run boiler",1585,940
19002,,,NULL,941
16718,Diesel,"Use for waste water treatment plant,incinerator and generator",133.5,942
3230,"Hydrolic oil","to run machines",NULL,943
16430,Diesel,"For drilling",10,944
4660,Diesel,"For generator",NULL,945
1952,"Furnace oil","operating boilers",950,946
3235,Diesel,"sound proof stand by generator",NULL,947
10126,Diesel,"Drilling and other machines",50,948
16608,kerosine,cleaning,10,949
10666,diesel,"for generators",5,950
16969,Diesel,"Operating Generator",10,951
2002,Diesel,"Mixer machine",400,952
13807,Diesel,"Operating of compresser",20,953
3216,No,,NULL,954
2423,Diesel,"Mechine Operation",NULL,955
16971,Diesel,"Operating Generator",10,956
19115,diesel,machineries,200,957
10147,diesel,"for crusher machine",NULL,958
12033,Diesel,Generator,NULL,959
2017,Diesel,"Fork lift truck and stand by generator",NULL,960
16533,Gas,"Baking Popups ",4.16,961
3199,No,,NULL,962
1581,Disel,"For machines",50,963
14492,Deisel,"Compressuer Operating",20,964
1849,Diesel,"Generator operating",20,965
3829,"Kerosine oil","to wash vehicles",20,966
16970,Diesel,"Operating Generator",10,967
1857,Diesel,,NULL,968
16904,Diesel,"Operation of generator during  power cut time",10,969
16527,N/A,,NULL,970
16965,Diesel,"Operating Generator",10,971
12040,"Diesel and Burned oil","power generation",NULL,972
13812,"kerosine oil","washing engine parts",10,973
16614,"paddy husk","boiling of water",550,974
16524,Kerosene,wasing,0.03,975
3316,No,,NULL,976
946,"Auto diesel","as raw material to produce CO2 & for generator",4800,977
945,Petrol,Transportation,NULL,978
3321,No,,NULL,979
958,,"For generator",2,980
17109,Diesel,"For Machinery",NULL,981
2066,Diesel,"Generator operating",200,982
3296,No,,NULL,983
17081,Diesel,,0.83,984
4661,Diesel,"For generator",NULL,985
17795,Diesel,"For Genarator",NULL,986
25202,"Diesel ","Tractor ",20,987
17082,Diesel,"For Machinery use",10,988
4121,Kerosene,"Engine clean up",1.5,989
16939,Diesel,"Operating Generator",15,990
1075,Diesel,"For boiler",50,991
4146,Diesel,"For forklift",3.33,992
4146,Petrol,"For forklift",3.33,993
17068,Kerosine,"For remove oil patches.",1,994
3360,No,,NULL,995
1220,"LP Gas","Use for ovens",100,996
1836,Diesel,"Mechine Operation",2.2,997
16906,Diesel,"to operate generator during power cut time",4,998
3866,L.P.gas,machinery,110000,999
19016,,,NULL,1000
3866,Diesel,machinery,18000,1001
3866,"Ferrous oil",Boilers,5000,1002
16599,Deisel,"Operating generator",110,1003
1031,"LP Gas","For cooking",9,1004
4608,"Fire wood","For boiler",8000,1005
4604,Diesel,"For generator",NULL,1006
3297,"Engine oil","to put engine",5,1007
943,Diesel,"For testing of trocfor after assembling & repairs",5,1008
16382,Diesel,"Operate  Jaw Crusher & compressor  ",40,1009
25210,No,,NULL,1010
2724,Disel,"To operate burners",500,1011
25211,Diesel,"for vehicle ",NULL,1012
4676,Diesel,"For vehicles",NULL,1013
4676,Petrol,"For vehicles",NULL,1014
16607,Diesel,"to operate the generator during power cut time",7,1015
966,"Furnace oil","For boilors",833.3,1016
25212,No,,NULL,1017
1062,"Furnace oil",Boiler,NULL,1018
3210,L.P.gas,"for curing oven",40,1019
4655,Diesel,"For generator",10,1020
3869,No,,NULL,1021
2058,Diesel,"for machines",100,1022
4641,Diesel,"For forklift",NULL,1023
4641,"Furnance oil","For boiler",NULL,1024
3897,Diesel,"for boiler",50,1025
1043,Diesel,"Water heating",40,1026
3854,No,,NULL,1027
1045,"Furnace oil","Heater & casting",110,1028
4789,Diesel,"For generator",NULL,1029
3318,No,,NULL,1030
918,Petrol,"For vehicles",100,1031
3263,No,,NULL,1032
4644,Diesel,"To generator",15,1033
3889,No,,NULL,1034
25220,"firing oil","boiling aluminium",200,1035
25219,L.P.Gas,"To processing",4,1036
4619,"Furnance oil",Heating,600,1037
3334,Diesel,"machinery, Generator, vehicles",3000,1038
25221,Diesel/firewood,"for generators",40,1039
3333,Diesel,"machinery, Generator, vehicles",1500,1040
4995,Diesel,,NULL,1041
3596,"Kerosine oil","to wash vehicles",5,1042
3369,No,,NULL,1043
980,Diesel,"For generator",20,1044
980,"Furnace oil","For boiler",400,1045
4333,"Furnace oil",heating,200,1046
3842,No,,NULL,1047
3875,No,,NULL,1048
3887,No,,NULL,1049
3847,"Hydraulic Diesel","machinery process",NULL,1050
3903,No,,NULL,1051
1816,Diesel,"For compressor",25,1052
3852,No,,NULL,1053
1543,Diesel,"For compressor",20,1054
4308,Kerosene,"Generator operating",50,1055
3319,No,,NULL,1056
25230,Diesel,"For machinery",30,1057
1579,Diesel,"For machinery",100,1058
3306,No,,NULL,1059
1580,Diesel,"For machinery",20,1060
3242,No,,NULL,1061
986,Diesel,,NULL,1062
1526,Diesel,"For machinery",40,1063
937,Diesel,"For generator",50,1064
3295,L.P.gas,"to heat",26,1065
1784,Diesel,"For machinery",30,1066
25232,"Diesel ","To gril granite",20,1067
1056,Kerosene,"Washing & cleanig vehicles",4,1068
1302,Diesel,"For Cookers",30,1069
3886,No,,NULL,1070
3899,No,,NULL,1071
3864,Diesel,"Generator, Incinerator",6,1072
25235,Diesel,"Fuel for generator",20,1073
15414,Diesel,"Fuel for Generator",80,1074
10149,Diesal,"For Blasting",NULL,1075
11937,Diesel,"Power generation",15,1076
16586,Deisel,"Operating generator",120,1077
10150,Kerosene,"Pump water",NULL,1078
11756,Diesel,"Production Process",100,1079
11684,Diesel,,75,1080
17356,Deisel,"for compressure",10,1081
25239,"Furners oil","To heat glucose and Sugar",40,1082
3207,"L.P. Gas",Oven,650,1083
3207,"Diesel ",Generator,NULL,1084
972,Diesel,"For generator",NULL,1085
1544,Diesel,"For generator",NULL,1086
19092,Diesel,machineries,60,1087
4418,Diesel,"Mechine Operation",100,1088
1479,Diesel,"For generator",NULL,1089
3828,No,,NULL,1090
10622,DG,,26,1091
3833,No,,NULL,1092
1824,Diesel,"For generator",13.3,1093
3273,"fire wood","to assemble thread",1,1094
1519,Petrol,"For sprayer",2,1095
25248,"Diesel ",Transport,550,1096
10632,Diesal,"drilling ",5,1097
4360,Diesel,"Generator operating",500,1098
3249,"Furnace oil","Melting of Aluminium",4000,1099
25250,Petrol,Transport,50,1100
25250,Diesel,Transport,550,1101
25252,No,,NULL,1102
4432,Diesel,,NULL,1103
3667,"Furnace oil","For boiler",25,1104
1522,Diesel,"For generator",200,1105
3860,"Kerosine oil","to wash vehicles",2,1106
3632,"Furnace oil",Heating,200,1107
10389,Kerosene,"for lighting Furnance",5,1108
1536,Diesel,"For machinery",100,1109
10220,"diesel ",,200,1110
10220," LP gas(kg)",,30,1111
18957,LPG,cooking,1,1112
1542,"Fire wood",,NULL,1113
1542,L.P.Gas,,5,1114
3880,Diesel,"stand by generator",NULL,1115
3630,Diesel,"For high pressure washing cart",20,1116
1476,Diesel,"For generator and vehicles",13.3,1117
4311,"Furnace oil",,500,1118
2637,Disel,"To operate machines",700,1119
3832,No,,NULL,1120
3641,Kerosene,"Oil burner",2,1121
2692,Disel,"Use for the standby generator",NULL,1122
11735,Diesel,,NULL,1123
3838,No,,NULL,1124
3626,"Naptha/ Diesel","For gas turbine combussion process",920000,1125
3627,Diesel,"For gas turbine combussion process",800000,1126
3827,No,,NULL,1127
16615,NA,,NULL,1128
17101,Diesel,,25,1129
17094,Kerosine,"Washing vehicles",1,1130
3907,No,,NULL,1131
16616,,,NULL,1132
25264,"Diesel ",,NULL,1133
18372,Diesel,"For Machinery",4,1134
3891,No,,NULL,1135
1458,Diesel/firewood,"for generators",NULL,1136
14364,,,NULL,1137
3863,"furnace oil and Diesel","standby generators and boilers",480,1138
1601,Diesel,"for compressor",20,1139
25266,Diesel,"for machines",10,1140
3823,No,,NULL,1141
3824,Diesel,Generator,1000,1142
14261,Diesel,Generator,50,1143
25268,Disel,"To use genarators",40,1144
17087,Diesel,"For  machinery",20,1145
1038,"LP Gas",,1,1146
3871,"Kerosine and Diesel","drying and power generation",110,1147
3859,No,,NULL,1148
10382,"Caltex ","Threewheeler engine ",14,1149
1525,Diesel,"for machines",2000,1150
3617,"Heavy diesel","For boiler",1300,1151
3831,No,,NULL,1152
3850,Diesel,"power cuts",NULL,1153
10417,biomass,"For vaporizing",2,1154
25278,Diesal,"For generator",200,1155
17088,Chaff,"Boiling of paddy",600,1156
3640,"Diesel, Furnace oil","Vehicles, boilers",230,1157
2619,Diesel,"To operate machines",100,1158
3892,NA,,NULL,1159
10429,Diesel,"foe air compressure",15,1160
1496,"Furnace oil","For Boiler",100,1161
3665,"Furnace oil 800 cc",Boiler,1200,1162
3665,Diesel,Generator,400,1163
14318,,,NULL,1164
10424,kerosine,"for lantems",1,1165
3878,Diesel,Generator,NULL,1166
10367,"Kerosene (L)","Lighting the furnance",1,1167
3694,Diesel,Vehicles,40,1168
17095,Diesel,"For machinary use",2,1169
17089,Diesel,"For Machinery use",20,1170
10431,"Gas, Diesel, Kerosine","for power generating",NULL,1171
3883,Diesel,,NULL,1172
10411,Kerosene,"To light the furnance to heat wax",3,1173
1523,Diesel,"for compressor",40,1174
19119,,,NULL,1175
930,Diesel,"For generator",4,1176
1569,Diesel,"for machines",20,1177
10414,Diesel,"for blasting",NULL,1178
1005,Diesel,"For generator",7.25,1179
17093,Diesel,"For Machinery",10,1180
3834,No,,NULL,1181
955,"Furnace oil","For generator & boiler",225,1182
14300,"paddy husk","ues as a fuel for boiler",100,1183
1055,Gas,"For cooking",NULL,1184
2474,"Diesel ","To operate machines",NULL,1185
3836,Diesel,"to operate fork lift",12,1186
10420,Diesel,"For pressure machines",10,1187
1515,Diesel,"For generator",NULL,1188
1460,Diesel,,NULL,1189
10391,"Diesel ","Pump Pressure machines ",2,1190
3857,No,,NULL,1191
10415,Diesal,,50,1192
1047,"L.P Gas",Cooking,1,1193
3229,No,,NULL,1194
10378,Diesel,"For pressure machines",10,1195
6152,diesel,compresure,20,1196
3664,Kerosene,"Cleaning of machines",NULL,1197
3664,Diesel,"For generator",NULL,1198
3840,No,,NULL,1199
17092,Diesel,,NULL,1200
3858,"Hydraulic oil",Machinery,NULL,1201
1454,Diesel,,NULL,1202
10437,diesel,"for compressure",10,1203
3894,No,,NULL,1204
3647,"L.P Gas","For batik printing",10,1205
17103,Diesel,,NULL,1206
10395,Diesel,"For generators",NULL,1207
10409,Diesal,"for the loader",20,1208
3837,No,,NULL,1209
10418,Diesel,"For drilling",10,1210
17443,Diesel,"For Machinery",8,1211
10434,Diesel,"For blasting",20,1212
3910,No,,NULL,1213
3622,Diesel,"For generator",NULL,1214
3826,No,,NULL,1215
3904,"LP gas",cooking,2,1216
1524,"L.P Gas","For cooking",NULL,1217
2738,Diesel,"To operate machines",40,1218
16707,Diesel,drilling,10,1219
10383,Diesel,,NULL,1220
3629,Diesel,"For vehicles",400,1221
1537,Diesel,"For vehicles",50,1222
1537,Petrol,"For vehicles",20,1223
3851,No,,NULL,1224
16699,Diesel,drilling,2,1225
16701,Diesel,"operate the driller",10,1226
16700,Diesel,"operate the driller",10,1227
3631,Kerosene,"Melting, roling",3,1228
3631,"Furnace oil","Melting, roling",50,1229
3881,No,,NULL,1230
3678,"Furnance oil, kerosene",Melting,10,1231
3764,Diesel,"For generator",NULL,1232
3877,No,,NULL,1233
4698,Diesel,"For generator",NULL,1234
3868,Diesel,Generator,2,1235
3669,Diesel,Generator,100,1236
3468,No,,NULL,1237
18351,Diesel,,NULL,1238
3313,Diesel,Generator,NULL,1239
3313,Diesel,Generator,NULL,1240
18350,Diesel,,NULL,1241
10388,Diesel,"For blasting",20,1242
2686,Diesel,"To operate machines",2400,1243
3287,"Kerosine oil",Casting,40,1244
10381,Kerosene,Lighting,1,1245
25299,Kerosine,washing,2,1246
921,"Pretreating oil",Cleaning,1,1247
3205,No,,NULL,1248
25300,cerosin,,2,1249
4989,"Furnace oil","At laundry",430,1250
4989,"LP Gas","For cooking",112.5,1251
3253,L.P.gas,"bend plastic sheets",NULL,1252
11777,diesel,,NULL,1253
3219,"Furnace oil",boiler,300,1254
5004,Kerosene,"Lab testings, wax cleaning & for generator",1,1255
18389,Diesel,"For machinary use",50,1256
18867,Diesel,"machinery operation",6,1257
25304,Diesel,,NULL,1258
3255,Diesel,oven,NULL,1259
3255,L.P.gas,"water stick machine",NULL,1260
18868,Diesel,"machinery operation",5,1261
10364,diesel,"for the drilling machine",5,1262
3192,Diesel,Generator,NULL,1263
16721,Diesel,"For oven",13.34,1264
3642,"Furnace oil","To manufacture aluminium  wearr",110,1265
3825,L.P.gas,"to heat heaters",NULL,1266
2725,Diesel,"To operate machines",30,1267
3688,"Used elements","To heat the barrel",NULL,1268
25307,"Kerosine oil",Washing,20,1269
2708,Disel,"To operate machines",60,1270
2645,Diesel,"To operate machines",20,1271
17100,Diesel,,2,1272
3624,"Gas & diesel","Cooking & baking",250,1273
17457,Diesel,"For Machinery",5,1274
3888,No,,NULL,1275
3656,"Furnace oil","To burn",472,1276
2510,"Kerosene Oil ","To dry Soil",20,1277
18371,Diesel,,NULL,1278
3843,No,,NULL,1279
10403,Diesel,"for the compressure",10,1280
3812,"Petrol (Octane 92)","Final test drive of vehicles",25,1281
18354,Diesel,,NULL,1282
3874,Diesel,Generator,NULL,1283
18364,Diesel,"For machinery",2,1284
3830,Diesel,"when change filter",2,1285
3637,Diesel,Transport,100,1286
18728,Diesel,,NULL,1287
3766,"Furnace oil","To fire the boier",NULL,1288
3844,No,,NULL,1289
3846,No,,NULL,1290
3885,No,,NULL,1291
4050,No,,NULL,1292
18715,"Deisal ","Borring machine",5,1293
3841,No,,NULL,1294
3636,,"Machinery & motor vehicles",20,1295
3705,"Kerosene oil",Washing,3,1296
25322,diesel,Drilling,10,1297
3845,Diesel,Generator,70,1298
3845,"Kerosine oil",Boiler,100,1299
17364,Diesel,"For Machinery",NULL,1300
3615,Diesel,"For generaor & boiler",100,1301
18722,Diesel,"For vehicles",20,1302
25327,Diesel,"For Machinery",NULL,1303
16674,diesal,"operating power generator during power failiures",10,1304
17365,"Diesel ","For boring machine ",NULL,1305
16940,Diesel,"For Vehicles & generator during power cut ",NULL,1306
17362,Diesel,"For machinery",20,1307
18702,Diesel,"For compressure",NULL,1308
3628,Diesel,"Container handling equipment",NULL,1309
10291,Diesel,"For drilling machine",20,1310
18727,Diesel,"For compressure",NULL,1311
14536,NA,NA,0,1312
14536,NA,NA,0,1313
3873,No,,NULL,1314
10299,Diesel,"for transport",20,1315
25331,"kerosine,",burning,3,1316
3882,L.P.gas,cooking,35,1317
3704,Diesel,"To operate machines",20,1318
19060,Diesel,"for machinery operations",20,1319
3909,No,,NULL,1320
25336,kerosine,burning,3,1321
25336,diesal,"for generator",30,1322
3699,Diesel,"To wash sand",35,1323
3896,"Furnace oil","to fire voiler",1800,1324
16895,Kerosene,"to operate motors",33.3,1325
14532,NA,NA,0,1326
25345,No,,NULL,1327
25349,"Kerosine oil",boiler,40,1328
14539,Nil,Nil,0,1329
14534,Diesel,"Compressuer Operating",35,1330
3898,No,,NULL,1331
3645,Diesel,"For generaor & boiler",70,1332
3645,"Furnace oil","For generaor & boiler",450,1333
10297,Diesal,"for the compressor",20,1334
3912,No,,NULL,1335
3280,No,,NULL,1336
3614,Diesel,"For generator",NULL,1337
3657,Kerosene,"For boiler",10,1338
4986,No,,NULL,1339
4852,Diesel,Generator,300,1340
3818,Diesel,Exavator,10,1341
4824,No,,NULL,1342
9290,"Kerosine oil","Wash the vehicale",1,1343
3639,Diesel,"For generator",50,1344
4854,No,,NULL,1345
18336,Kerosine,"For servicing of motor bikes",1,1346
18054,Deisel,"Operate Machine",80,1347
9306,Diesel,,NULL,1348
10288,Disel,Driling,NULL,1349
25372,Diesel,"For commpressure and backhoe machine",25,1350
18870,Diesel,"machinery operation",6,1351
1462,"Rubber wood","To get the temperature",4,1352
1462,Diesel,"For generator",15,1353
4812,No,,NULL,1354
18869,Diesel,"Mechinary operation",5,1355
3701,Diesel,"Incineration ",100,1356
4816,No,,NULL,1357
18873,Diesel,Mechinary,6,1358
18295,Kerosine,"For washing",1,1359
4821,No,,NULL,1360
4910,No,,NULL,1361
3683,"Kerosene oil","For cleaning",2,1362
4957,Diesel,Generator,175,1363
3774,Diesel,"For generator",NULL,1364
4914,No,,NULL,1365
4826,"fire wood","boiler firing",2,1366
10346,"Diesel ","For generator",NULL,1367
1508,Diesel,"For generator",20,1368
10321,L.P.G,"For baking purpose ",NULL,1369
4856,No,,NULL,1370
18909,"Paddy husk",Boiling,300,1371
18909,,,NULL,1372
4839,No,,NULL,1373
5027,Diesel,"For generator",NULL,1374
4851,No,,NULL,1375
4680,"L.P Gas","For cooking and frying",16,1376
1284,Kerosene,"For vehicles",20,1377
4855,No,,NULL,1378
18327,Diesel,"For brake metals",NULL,1379
25397,"Diesel ",,NULL,1380
4817,Diesel,Generator,NULL,1381
25399,"Furnace oil","For boiler",350,1382
4103,"Fire wood","For heating",4,1383
3780,"Kerosene oil","For washing ",NULL,1384
4822,No,,NULL,1385
14278,"paddy husk",bannur,500,1386
4424,Diesel,vehicles,NULL,1387
4846,Diesel,Generator,NULL,1388
9291,"Diesel, Kerosine Oil,",,NULL,1389
1520,"Fire wood",,1,1390
4838,"Hydrolic oil",,NULL,1391
4813,"Kerosine oil",,25,1392
4813,Diesel,,NULL,1393
4853,"LP gas","cooking and frying of foods",NULL,1394
10598,diesel,"for brakers",20,1395
4819,No,,NULL,1396
9332,"Kerosine oil","Washing Vehicals",NULL,1397
4860,No,,NULL,1398
4832,No,,NULL,1399
4357,Kerosene,"operating boilers",NULL,1400
10712,"Kerosene oil","Washing purpose",5,1401
3821,Diesel,"To put muddy soil",NULL,1402
25426,"Paddy husks","Boiling and dring paddy",NULL,1403
10586,diesal,"machine operating",NULL,1404
3687,Diesel,"Only when the power failure",3,1405
18284,Diessel,"For generator",NULL,1406
25429,No,,NULL,1407
10496,Deisal,Compressor,5,1408
25431,No,,NULL,1409
3902,No,,NULL,1410
10506,diesel,"for compressure",5,1411
18273,Gas,"Food processing",12.5,1412
18273,"Fire wood",,5,1413
10518,diesel,"drilling machine",20,1414
4149,Diesel,"For boiler",25,1415
10502,diesel,"for compressure",15,1416
3895,Diesel,Generator,NULL,1417
10505,diesel,"for compressure",1,1418
3700,Diesel,,60,1419
10511,diesel,"for comopressue",15,1420
3602,No,,NULL,1421
18292,"Fire wood","for boiling of water",NULL,1422
3204,No,,NULL,1423
10515,Diesal,Compressor,10,1424
10507,diesal,"fpr Compressor",10,1425
3202,"LP gas","for bakery production",NULL,1426
25438,No,,NULL,1427
10494,"diesel ","drilling ",5,1428
3337,Diesel,Generator,NULL,1429
10503,"Diesal (L)",,30,1430
3271,No,,NULL,1431
10497,"Paddy husks","Boiling Rice",30,1432
3237,Diesel,"For generator",NULL,1433
10537,,,NULL,1434
10537,Diesel,crushing,5,1435
10524,diesel,"for compressure",10,1436
10532,diesel,"for drilling machine",25,1437
4857,No,,NULL,1438
25443,"LP gas","For water heating",37.5,1439
10533,diesel,"for compressure",2,1440
4815,Diesel,"For generator",6,1441
4815,Petrol,"For fire engines",NULL,1442
4815,"L.P. Gas","For cooking",6,1443
4825,Diesel,"For generator",10,1444
25446,"diesel ","Compressor ",8,1445
25447,"Diesel ","For Machines ",35,1446
4849,No,,NULL,1447
25448,"diesel ","For machines ",10,1448
25449,"Diesel ",,35,1449
25450,"Diesel ",,3,1450
25451,"Diesel ","Compressor ",2.5,1451
3317,,"for production process",NULL,1452
25453,"diesel ","Drilling ",10,1453
3900,"Furnace oil","Fire boiler",NULL,1454
9329,"Kerosine oil",,NULL,1455
3329,No,,NULL,1456
3906,No,,NULL,1457
10688,Diesal,"for engine",20,1458
25454,Kerosene,"For furnances",2,1459
