industryID,fualtype,purpose,fuelconsumption,fid
17846,"LP gas","lit the burner",50,164
17842,Oil,"For vehicles",NULL,165
18037,"Diesel ",Vehicles,7,166
17835,"Diesel ",Vehicles,20,167
3310,,,NULL,168
18503,Diesel,"For machinary use",NULL,169
1010,Diesel,"Incinerator, generators",57,170
16457,Husk,"For boiler",1000,171
16458,Husk,"For boilers",375,172
17506,desal,"for mashines",10,173
2465,"Kerosene oil","Vehicle Cleaning purpose",10,174
16459,Husk,"For boilers",375,175
17324,"Dessal  ","operate machine ",20,176
17847,"Diesel ",Machinery,20,177
18499,Diesel,"For machines and vehicles",420,178
1265,"LP Gas",Cooking,220,179
1859,Diesel,"Heat generating quipments",100,180
1859,"Thermic fluid",,NULL,181
3312,"Caltex, Mobil","For vehicles",15,182
18414,"Woode ","Boiling paddy ",100,183
24721,Disel,"For Generates",45,184
1037,"LP Gas",Cooking,5,185
18639,"Hydrolic oil",Machinery,NULL,186
18418,"Desal ","Operate Machine  ",5,187
2610,Disel,"for machine usage",150,188
1068,"LP Gas",Cooking,NULL,189
17844,"Diesel ",Vehicles,10,190
2659,"Kerosene oil","For Cleaning",2,191
916,,Generators,NULL,192
1866,Diesel,"Mechine Operation",300,193
2422,Diesel,"Mechine Operation",NULL,194
927,Diesel,"For generator",250,195
2601,Eletracity,"Operate machines",NULL,196
1865,Diesel,"Generator operating",NULL,197
17849,desal,"for machins",20,198
997,Diesel,"For generator",NULL,199
24733,Diesel,"For power Generation and running vehicals",200,200
3289,N/A,-,NULL,201
24735,diesel,"for breaker & drilling",10,202
2445,"Kerosene oil","For Vehicle Washing",5,203
10709,Diesel,"drilling and breaking",10,204
2446,"Kerosene oil",,10,205
1076,Diesel,"For generator",NULL,206
1076,"LP Gas",Coocking,NULL,207
24742,"Rice husk","for Boiler machine",1500,208
24743,Diesel,"Steam boiler",275,209
17989,,Machinery,150,210
915,"Furnace oil",Boilers,1500,211
2588,"Kerosene oil",,50,212
10708,diesel,"for compressor and tractor",20,213
3262,No,-,0,214
10707,diesel,"for generator",35,215
1054,Diesel,"For generator",NULL,216
24747,disel,"for genarators",100,217
24757,"diesel ","for machineries",4000,218
10517,Diesel,"For Generator",NULL,219
10510,Diesel,Generator,5,220
16461,Husk,"For boiler",750,221
15351,Diesel,"Ignite the raw material",3500,222
18997,,,NULL,223
24766,Diesel,"Machinary use",NULL,224
18995,,,NULL,225
16462,Husk,"For boiler",750,226
24768,Diesel,"For machinary  use",5,227
16463,Husk,"For boilers",750,228
